mun,nom_mun,mean_ed_mun,mean_general,upper,lower
001,Acuitzio,4.507567567567568,4.6586657398229745,0,1
002,Aguililla,3.5138028169014084,4.6586657398229745,0,1
003,Álvaro Obregón,5.023714285714286,4.6586657398229745,1,0
004,Angamacutiro,4.247037037037037,4.6586657398229745,0,1
005,Angangueo,5.257894736842105,4.6586657398229745,1,0
006,Apatzingán,3.92875,4.6586657398229745,0,1
007,Aporo,5.081,4.6586657398229745,1,0
008,Aquila,3.8445173745173746,4.6586657398229745,0,1
009,Ario,4.539823008849558,4.6586657398229745,0,1
010,Arteaga,3.61,4.6586657398229745,0,1
011,Briseñas,6.011428571428572,4.6586657398229745,1,0
012,Buenavista,4.403968253968254,4.6586657398229745,0,1
013,Carácuaro,3.2642857142857142,4.6586657398229745,0,1
014,Coahuayana,4.2525,4.6586657398229745,0,1
015,Coalcomán de Vázquez Pallares,3.34171974522293,4.6586657398229745,0,1
016,Coeneo,5.084871794871795,4.6586657398229745,1,0
017,Contepec,4.852428571428572,4.6586657398229745,1,0
018,Copándaro,4.64,4.6586657398229745,0,1
019,Cotija,3.642,4.6586657398229745,0,1
020,Cuitzeo,4.612380952380953,4.6586657398229745,0,1
021,Charapan,5.295,4.6586657398229745,1,0
022,Charo,4.990877192982456,4.6586657398229745,1,0
023,Chavinda,4.27,4.6586657398229745,0,1
024,Cherán,5.631538461538462,4.6586657398229745,1,0
025,Chilchota,5.457619047619048,4.6586657398229745,1,0
026,Chinicuila,4.093695652173913,4.6586657398229745,0,1
027,Chucándiro,4.154761904761905,4.6586657398229745,0,1
028,Churintzio,4.7155,4.6586657398229745,1,0
029,Churumuco,3.6233823529411766,4.6586657398229745,0,1
030,Ecuandureo,4.366086956521739,4.6586657398229745,0,1
031,Epitacio Huerta,4.47830985915493,4.6586657398229745,0,1
032,Erongarícuaro,6.033888888888889,4.6586657398229745,1,0
033,Gabriel Zamora,4.350370370370371,4.6586657398229745,0,1
034,Hidalgo,4.7063366336633665,4.6586657398229745,1,0
035,La Huacana,4.0063157894736845,4.6586657398229745,0,1
036,Huandacareo,4.843333333333334,4.6586657398229745,1,0
037,Huaniqueo,3.9858333333333333,4.6586657398229745,0,1
038,Huetamo,3.6748618784530387,4.6586657398229745,0,1
039,Huiramba,5.274117647058824,4.6586657398229745,1,0
040,Indaparapeo,4.571176470588235,4.6586657398229745,0,1
041,Irimbo,5.237096774193549,4.6586657398229745,1,0
042,Ixtlán,4.639285714285714,4.6586657398229745,0,1
043,Jacona,4.770555555555555,4.6586657398229745,1,0
044,Jiménez,5.0633333333333335,4.6586657398229745,1,0
045,Jiquilpan,4.349642857142857,4.6586657398229745,0,1
046,Juárez,5.168787878787879,4.6586657398229745,1,0
047,Jungapeo,5.004615384615384,4.6586657398229745,1,0
048,Lagunillas,4.717272727272727,4.6586657398229745,1,0
049,Madero,3.4624844720496895,4.6586657398229745,0,1
050,Maravatío,4.571162790697675,4.6586657398229745,0,1
051,Marcos Castellanos,4.667,4.6586657398229745,1,0
