...1,mun,gini,mes,year,cve,mun_name,trat,pto,trat_1,mean_t1,trat_2,month,dia,date
1,C75,0.452936605768079,Enero,2003,C75,Apatzingan,1,0,1,0.05555555555555555,1,1,1,2003-01-01
2,C76,0.360484632612861,Enero,2003,C76,Arteaga,0,0,0,0,0,1,1,2003-01-01
3,C77,0.387905885941999,Enero,2003,C77,Cotija,1,0,1,0.05555555555555555,1,1,1,2003-01-01
4,C78,0.291176470588235,Enero,2003,C78,Charapan,0,0,0,0,0,1,1,2003-01-01
5,C79,0.238792102206736,Enero,2003,C79,Cheran,0,0,0,0,0,1,1,2003-01-01
6,C80,0.299180999180999,Enero,2003,C80,Chilchota,1,0,1,0.05555555555555555,1,1,1,2003-01-01
7,C81,0.309855710442651,Enero,2003,C81,Gabriel Zamora,0,0,0,0,0,1,1,2003-01-01
8,C82,0.482191470054446,Enero,2003,C82,Hidalgo,1,0,1,0.05555555555555555,1,1,1,2003-01-01
9,C83,0.481463570027774,Enero,2003,C83,Jacona,0,0,0,0,0,1,1,2003-01-01
10,C84,0.462853989839476,Enero,2003,C84,Jiquilpan,0,0,0,0,0,1,1,2003-01-01
11,C85,0.326037147174962,Enero,2003,C85,Jungapeo,1,0,1,0.05555555555555555,1,1,1,2003-01-01
12,C86,0.442304539585567,Enero,2003,C86,La Piedad,0,0,0,0,0,1,1,2003-01-01
13,C87,0.473545756327624,Enero,2003,C87,Lazaro Cardenas,0,0,0,0,0,1,1,2003-01-01
14,C88,0.484002130163457,Enero,2003,C88,Los Reyes,1,0,1,0.05555555555555555,1,1,1,2003-01-01
15,C89,0.472491766578966,Enero,2003,C89,Morelia,0,0,0,0,0,1,1,2003-01-01
16,C90,0.43188223895715,Enero,2003,C90,Mugica,0,0,0,0,0,1,1,2003-01-01
17,C92,0.245454545454546,Enero,2003,C92,Nuevo Urecho,0,0,0,0,0,1,1,2003-01-01
18,C93,0.19754363283775,Enero,2003,C93,Paracuaro,0,0,0,0,0,1,1,2003-01-01
