mun,gini_mean,year,pto,trat_2
Apatzingan,0.428508055,2003,0,1
Arteaga,0.358180748,2003,0,0
Cotija,0.37310453,2003,0,1
Charapan,0.218105549,2003,0,0
Cheran,0.251870107,2003,0,0
Chilchota,0.277222945,2003,0,1
Gabriel Zamora,0.297335983,2003,0,0
Hidalgo,0.450361069,2003,0,1
Jacona,0.455886626,2003,0,0
Jiquilpan,0.423777625,2003,0,0
Jungapeo,0.317961317,2003,0,1
La Piedad,0.421403645,2003,0,0
Lazaro Cardenas,0.465616341,2003,0,0
Los Reyes,0.435019806,2003,0,1
Morelia,0.465159252,2003,0,0
Mugica,0.391705717,2003,0,0
Nuevo Urecho,0.217843198,2003,0,0
Paracuaro,0.162906981,2003,0,0
Paracho,0.42447272,2003,0,0
Patzcuaro,0.457716837,2003,0,1
Periban,0.307364566,2003,0,1
Quiroga,0.367545844,2003,0,1
Sahuayo,0.391496773,2003,0,0
Tacambaro,0.459167885,2003,0,1
Taretan,0.501469433,2003,0,1
Tinguindin,0.390648098,2003,0,1
Tocumbo,0.514513321,2003,0,1
Turicato,0.257190253,2003,0,1
Uruapan,0.43985462,2003,0,1
Venustiano Carranza,0.253439592,2003,0,0
Zacapu,0.499249014,2003,0,0
Zamora,0.459196996,2003,0,0
Zitacuaro,0.448309921,2003,0,1
Tarimbaro,0.341429876,2003,0,1
Angangueo,0.188821759,2003,0,0
Acuitzio,0.198318044,2003,0,1
Ario,0.383523697,2003,0,1
Erongaricuaro,0.230312076,2003,0,1
La Huacana,0.358086883,2003,0,0
Huiramba,0.083333333,2003,0,1
Lagunillas,0.356095334,2003,0,1
Madero,0.28523351,2003,0,1
Salvador Escalante,0.334940065,2003,0,1
Tingambato,0.325140706,2003,0,1
Tzintzuntzan,0.15977448,2003,0,1
Angamacutiro,0.269208871,2003,0,0
Jose Sixto Verduzco,0.197331665,2003,0,0
Morelos,0.168691023,2003,0,0
Panindicuaro,0.264538194,2003,0,0
Penjamillo,0.452253925,2003,0,0
Puruandiro,0.371731343,2003,0,0
Churumuco,0.033333333,2003,0,0
Tlalpujahua,0.38137823,2003,0,0
