cve,year,se1_0,se1_1,se1_3,se1_4,se1_5,se1_6,se1_7,se1_8,se1_9,rs_w1,rs_w2,rs_w3,rs_w4,rs_w5,rs_w6,rs_w7,rs_w8,rs_w9,rs_w10,rs_w11,rs_w12,rs_w13,rs_w14,rs_w15,rs_w16,rs_w17,rs_w18,rs_w19,rs_w20,rs_w21,rs_w22,rs_w23,rs_w24,rs_w25,sp_1,sp_2,sp_3,sp_4,sp_5,sp_6,sp_7,mun,trat,pto
O81,2003,168,0,123,353,36,341,10,210,304,181,330,322,282,195,53,12,41,20,14,11,12,10,13,14,7,12,8,4,4,0,0,0,0,0,98,220,1112,115,0,0,0,Coahuayana,0,0
O82,2003,82,974,17,36,0,149,5,0,0,79,134,212,133,77,90,63,46,46,62,71,55,34,22,28,23,19,19,2,14,12,2,0,0,20,65,39,461,698,0,0,0,Aquila,0,0
C89,2003,2756,487,51788,12719,4720,68874,15061,44801,28049,38493,51840,34367,23308,15697,11645,8776,7720,5804,4923,3660,3516,2778,2369,1943,1693,1379,1261,1095,1018,910,733,606,653,2560,14939,40655,75337,53316,19607,10997,12884,Morelia,0,0
C91,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nocupetaro,0,0
C95,2003,343,0,3182,1082,621,6666,1373,3709,3174,6335,6098,2727,1340,830,539,345,342,335,197,147,124,111,107,149,154,50,45,36,20,18,4,7,2,83,1919,5172,7349,5710,0,0,0,Patzcuaro,1,0
C97,2003,0,0,344,230,0,1505,33,371,273,1135,810,398,132,107,59,30,30,19,5,11,1,2,12,5,0,0,0,0,0,0,0,0,0,0,370,1267,1119,0,0,0,0,Quiroga,1,0
C99,2003,1506,24,1396,246,189,2894,230,751,711,2244,2348,950,596,234,152,102,108,113,61,67,49,37,25,28,10,24,15,46,27,2,2,17,4,32,576,1584,3444,1648,221,156,306,Tacambaro,1,0
D04,2003,60,0,525,133,0,179,3,52,32,264,310,55,6,3,14,3,7,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,126,254,165,156,156,0,Turicato,1,0
D07,2003,480,46,8862,2061,564,8029,1619,3742,1602,8072,7236,3270,1656,1160,872,807,609,414,312,297,251,244,198,209,156,129,115,66,73,42,40,54,45,284,3123,6587,9956,4690,1457,937,0,Zacapu,0,0
D10,2003,369,105,2671,1133,0,1813,80,346,0,1248,1958,1548,671,362,221,219,91,65,56,29,2,0,13,7,8,4,12,0,0,0,0,2,0,1,165,916,2845,1848,743,0,0,Tarimbaro,1,0
K77,2003,39,0,221,24,24,96,0,47,14,245,196,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,224,108,0,0,0,0,Acuitzio,1,0
K78,2003,895,0,589,145,0,1670,738,419,166,1420,1317,579,353,250,256,86,83,56,27,29,4,2,2,2,0,2,2,4,0,0,0,0,0,0,461,1331,1889,841,0,0,0,Ario,1,0
K79,2003,0,0,404,8,0,33,0,12,120,131,303,100,12,19,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,94,159,304,0,0,0,Erongaricuaro,1,0
K80,2003,100,0,38,153,0,575,23,162,138,307,455,106,66,34,24,17,11,31,8,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,163,280,627,0,0,0,0,La Huacana,0,0
K81,2003,0,0,24,8,0,0,0,0,0,24,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,Huiramba,1,0
K82,2003,61,0,0,28,0,103,0,273,12,81,123,43,32,74,43,44,15,10,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,25,82,370,0,0,0,0,Lagunillas,1,0
K83,2003,36,0,400,4,0,226,12,23,0,407,170,88,13,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,277,360,0,0,0,0,Madero,1,0
K84,2003,656,12,1094,68,0,143,2,692,188,993,1094,441,135,55,36,12,15,11,6,12,21,0,0,3,0,9,0,0,0,0,0,0,0,0,187,958,1431,279,0,0,0,Salvador Escalante,1,0
K86,2003,25,42,38,28,0,87,0,48,0,48,136,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,91,149,0,0,0,0,Tzintzuntzan,1,0
L22,2003,0,0,0,33,0,207,36,81,24,122,179,15,47,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,128,186,0,0,0,0,Angamacutiro,0,0
L23,2003,76,0,332,12,51,334,55,0,0,108,514,172,25,16,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,263,516,17,0,0,0,Jose Sixto Verduzco,0,0
L24,2003,0,0,24,79,0,111,12,0,0,8,158,12,14,5,15,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,135,53,0,0,0,0,Morelos,0,0
L25,2003,0,0,189,83,0,623,46,102,48,489,435,98,27,15,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,337,465,0,0,0,0,Panindicuaro,0,0
L27,2003,469,128,1435,767,342,5546,570,1590,1181,2179,4799,2080,908,380,334,261,206,132,104,76,51,44,30,49,21,17,16,12,6,9,4,2,0,3,1634,4401,5231,497,0,0,0,Puruandiro,0,0
M45,2003,0,0,0,4,0,0,0,24,12,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,Churumuco,0,0
O24,2003,86,3,360,330,277,2128,184,1075,219,1300,1636,587,261,170,113,103,102,59,42,34,22,15,2,6,8,8,5,5,10,6,0,0,1,8,460,1482,2285,276,0,0,0,Zinapecuaro,1,0
O25,2003,60,0,57,24,0,174,0,60,84,159,239,37,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,213,147,0,0,0,0,Querendaro,0,0
O26,2003,0,0,290,0,0,206,0,12,0,223,238,24,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,99,349,0,0,0,0,Indaparapeo,0,0
O48,2003,0,131,120,16,0,139,0,0,0,85,233,72,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,152,235,0,0,0,0,Charo,0,0
O49,2003,254,0,144,167,0,406,549,219,14,369,502,117,69,97,141,137,68,67,22,33,29,15,3,15,11,27,0,4,6,0,2,0,0,12,91,497,849,309,0,0,0,Alvaro Obregon,0,0
O54,2003,0,0,72,56,0,383,34,63,156,407,277,34,27,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,391,243,0,0,0,0,Coeneo,0,0
O55,2003,12,64,404,139,0,220,29,63,89,323,439,105,50,28,5,8,24,0,2,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,187,205,255,373,0,0,0,Jimenez,0,0
O68,2003,12,0,72,42,0,70,68,60,12,177,81,66,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,126,150,0,0,0,0,Huaniqueo,0,0
O71,2003,0,0,12,0,0,20,0,8,0,15,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,28,0,0,0,0,0,Caracuaro,0,0
O72,2003,133,0,288,339,149,813,57,153,174,462,690,390,159,51,63,92,56,32,33,10,2,6,13,8,0,2,3,0,4,6,2,0,2,0,233,324,1300,229,0,0,0,Cuitzeo,0,0
O73,2003,0,0,48,22,0,0,0,24,0,7,66,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,18,0,0,0,0,Chucandiro,0,0
O74,2003,27,0,219,0,0,145,0,34,12,91,150,114,48,12,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,207,180,0,0,0,0,Santa Ana Maya,0,0
O75,2003,191,0,317,211,90,349,130,567,109,695,713,330,66,50,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,132,624,1115,0,0,0,0,Huandacareo,0,0
O76,2003,0,0,0,12,0,0,36,0,0,0,36,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,36,10,0,0,0,0,Copandaro,0,0
O77,2003,0,0,0,57,0,0,0,0,0,0,19,32,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,52,0,0,0,0,Tzitzio,0,0
C75,2003,503,0,4007,1502,648,12302,2736,5267,2925,6262,11885,4305,2079,1204,808,540,499,437,303,210,201,193,145,170,105,108,78,40,56,39,36,32,22,109,3282,8459,13955,4194,0,0,0,Apatzingan,1,0
C76,2003,0,0,24,1003,1300,45,0,0,0,61,354,261,169,193,144,174,178,173,142,124,77,78,62,46,33,17,25,10,14,4,6,0,5,22,22,98,649,1603,0,0,0,Arteaga,0,0
C78,2003,12,0,0,159,0,0,0,0,25,21,86,63,7,11,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,38,143,0,0,0,0,Charapan,0,0
C79,2003,0,0,4,167,0,220,0,2,48,70,201,102,27,26,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,182,249,0,0,0,0,Cheran,0,0
C81,2003,144,0,528,277,54,509,0,130,55,323,795,297,147,55,20,18,8,2,6,10,6,0,2,2,6,0,0,0,0,0,0,0,0,0,101,382,1214,0,0,0,0,Gabriel Zamora,0,0
C90,2003,51,0,1260,897,412,2402,97,763,309,1646,2373,711,306,214,209,192,158,157,86,24,37,8,4,9,12,0,2,0,0,0,0,0,0,2,589,2035,2964,562,0,0,0,Mugica,0,0
C92,2003,18,0,29,18,0,66,0,0,0,30,66,24,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,69,43,0,0,0,0,Nuevo Urecho,0,0
C93,2003,81,0,165,12,99,299,0,115,0,192,514,40,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,299,380,0,0,0,0,Paracuaro,0,0
C94,2003,0,0,1874,143,184,825,50,60,106,1043,1218,369,127,60,111,95,46,48,23,22,16,20,16,2,2,0,2,2,2,4,0,0,0,14,223,710,1949,360,0,0,0,Paracho,0,0
D01,2003,1697,0,977,12,0,171,0,103,0,637,342,306,180,173,110,62,77,75,53,25,53,30,12,83,14,14,9,12,2,6,14,9,2,36,150,261,332,929,865,111,312,Taretan,1,0
D05,2003,4268,219,24314,5998,2705,33329,6154,17489,10376,20792,31240,17292,9960,5969,4195,3018,2127,1969,1308,979,949,722,644,617,531,367,264,284,277,199,151,104,109,485,8106,22263,38243,26160,5974,0,2415,Uruapan,1,0
K85,2003,671,0,95,36,0,88,0,257,0,195,347,270,133,84,57,31,6,0,12,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,72,267,808,0,0,0,0,Tingambato,1,0
O21,2003,60,0,476,362,301,1953,115,596,188,1381,1307,551,320,97,71,67,113,46,33,10,2,3,14,0,4,3,0,0,0,0,0,0,0,0,364,1220,2378,60,0,0,0,Tepalcatepec,0,0
O22,2003,105,0,546,186,262,898,48,373,79,651,1010,414,182,76,37,33,39,28,7,2,4,0,4,2,4,2,0,0,0,0,0,2,0,0,269,745,1483,0,0,0,0,Buenavista,0,0
O52,2003,477,0,51,93,0,50,1299,568,94,370,854,469,172,202,148,72,81,53,48,0,36,59,20,16,4,0,12,4,0,0,0,0,0,12,105,334,1006,0,1187,0,0,Ziracuaretiro,1,0
O53,2003,1097,0,346,118,0,571,14,202,264,876,1066,435,96,67,30,30,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,546,1614,247,0,0,0,Nuevo Parangaricutiro,1,0
O59,2003,0,0,210,20,0,50,0,40,0,47,201,55,13,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,120,69,126,0,0,0,Nahuatzen,0,0
O63,2003,0,0,436,176,0,406,50,141,884,254,719,473,274,143,77,42,28,17,20,0,2,4,2,0,36,0,0,0,0,2,0,0,0,0,149,503,661,780,0,0,0,Coalcoman,0,0
O65,2003,0,0,20,0,0,0,0,0,0,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,Tumbiscatio,0,0
O67,2003,6,0,380,30,0,151,0,36,85,218,390,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,86,347,229,0,0,0,Aguililla,0,0
O70,2003,1541,0,403,69,0,245,36,67,74,801,832,487,195,86,27,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,358,851,1024,202,0,0,0,Tancitaro,1,0
C77,2003,216,11,609,126,77,1290,91,443,746,1097,1383,475,241,95,105,62,26,30,36,17,16,0,0,0,14,0,0,1,0,0,0,11,0,0,476,1240,1386,507,0,0,0,Cotija,1,0
C80,2003,5,0,18,79,0,737,0,41,30,227,357,163,95,46,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,193,163,456,0,0,0,Chilchota,1,0
C83,2003,818,0,7405,1175,141,4886,650,2309,1117,3651,5546,2813,1650,1063,786,628,423,337,246,240,155,135,114,98,77,61,60,55,40,35,53,36,25,174,1187,3293,6711,4564,474,2272,0,Jacona,0,0
C84,2003,430,0,3003,743,557,2151,225,1266,1219,2331,3460,1241,760,435,313,213,181,123,86,100,73,55,19,39,39,34,8,11,4,4,4,2,0,44,997,2675,3673,2249,0,0,0,Jiquilpan,0,0
C86,2003,1413,29,13846,2432,635,17159,2330,6722,3798,8100,17739,7946,4610,2460,1766,1089,836,571,524,411,320,336,209,245,196,131,163,101,89,87,64,42,29,276,4159,11637,19756,11564,1248,0,0,La Piedad,0,0
C88,2003,1299,0,2338,1011,465,6321,988,2481,1503,5902,5350,1718,835,513,351,293,223,220,125,59,86,82,66,70,46,34,25,24,19,6,11,3,5,34,2655,5385,6442,1559,365,0,0,Los Reyes,1,0
C96,2003,1321,12,1237,102,95,986,104,359,281,1823,1668,525,288,72,33,30,23,0,0,21,0,12,0,2,0,0,0,0,0,0,0,0,0,0,728,1568,1851,350,0,0,0,Periban,1,0
C98,2003,83,0,3507,1394,82,8423,1507,3224,2223,4598,8312,3224,1556,728,519,326,211,170,91,81,74,76,81,86,61,73,32,25,24,16,16,11,10,42,2267,6390,10048,1738,0,0,0,Sahuayo,0,0
D02,2003,700,0,925,116,0,286,59,197,120,651,766,472,199,115,47,52,4,31,5,6,3,13,1,5,0,0,4,12,0,0,1,0,4,12,181,576,1266,380,0,0,0,Tinguindin,1,0
